dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=2 | frames=5,1,128,15,0.6816043704748154,1954.5034219179154,10.986355323530734,1,2,5
CV1 | nets=2 | frames=5,1,128,16,0.6241014152765274,1953.1708581562043,10.978865082077682,1,2,5
CV1 | nets=2 | frames=10,1,128,1,1.0178533991177876,45.187343566954134,0.0017514644050138485,1,2,10
CV1 | nets=2 | frames=10,1,128,2,1.0133637587229412,36.155763285426424,0.0014013997568072228,1,2,10
CV1 | nets=2 | frames=10,1,128,3,0.9485339721043905,19.481961610607804,0.0007551221150451966,1,2,10
CV1 | nets=2 | frames=10,1,128,4,0.9894281228383383,12.382653185000644,0.00047995244778388724,1,2,10
CV1 | nets=2 | frames=10,1,128,5,0.98410032192866,12.777573601141572,0.0004952595941228992,1,2,10
CV1 | nets=2 | frames=10,1,128,6,0.9850939909617106,14.195357789970934,0.000550212994605289,1,2,10
CV1 | nets=2 | frames=10,1,128,7,0.9704858064651489,18.195139702607413,0.0007052448157180606,1,2,10
CV1 | nets=2 | frames=10,1,128,8,0.9769857128461202,26.270399747387973,0.0010182424130771822,1,2,10
CV1 | nets=2 | frames=10,1,128,9,0.9631550709406534,31.767061116635798,0.0012312933679673108,1,2,10
CV1 | nets=2 | frames=10,1,128,10,0.9495803117752075,34.41323868986591,0.001333859385276554,1,2,10
CV1 | nets=2 | frames=10,1,128,11,0.9597523212432861,31.285443027358504,0.0012126258013963706,1,2,10
CV1 | nets=2 | frames=10,1,128,12,0.9493500789006551,26.367720650766977,0.0010220145794678074,1,2,10
CV1 | nets=2 | frames=10,1,128,13,0.9566760460535685,22.200674876709467,0.0008604996036672787,1,2,10
CV1 | nets=2 | frames=10,1,128,14,1.0068275133768718,17.94760447225906,0.0006956503279997293,1,2,10
CV1 | nets=2 | frames=10,1,128,15,0.9503652850786845,15.255591540396214,0.000591307725326402,1,2,10
CV1 | nets=2 | frames=10,1,128,16,0.9579320152600607,12.1979732497558,0.0004727942354921879,1,2,10
CV1 | nets=2 | frames=10,1,128,17,0.956226130326589,10.95979799894616,0.0004248024877434773,1,2,10
CV1 | nets=2 | frames=10,1,128,18,0.9482604066530863,9.373819971229882,0.0003633298825454858,1,2,10
CV1 | nets=2 | frames=10,1,128,19,0.9501988291740417,9.063162061642855,0.00035128875159659855,1,2,10
