dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,train_original_sim_idx,original_sim_idx
high_p CV2 sim-56,other_trajectories,12,100,100,0.40277756681906324,0.34381897866260036,2.5130926587735303e-05,0.00045756061444990337,0.000570663542021066,1.2471867638938705,high final p-ratio,high_p,56,12
high_p CV2 sim-56,other_trajectories,13,100,100,0.391058888327902,0.11052939344092075,0.0001050610953825526,0.0004217526293359697,0.0007183524430729449,1.7032553992703212,high final p-ratio,high_p,56,13
high_p CV2 sim-56,other_trajectories,14,100,100,0.42144778489559137,-0.018478559793530917,0.0001347214711131528,0.00045000307727605104,0.0005382404779084027,1.1960817716324705,high final p-ratio,high_p,56,14
high_p CV2 sim-56,other_trajectories,15,100,100,0.41755226940412127,0.008305996800413685,0.00013673477224074304,0.0003995395090896636,0.00059597595827654,1.4916571320679894,high final p-ratio,high_p,56,15
high_p CV2 sim-56,other_trajectories,16,100,100,0.3545605060913831,-0.36968904063691627,0.0003464851761236787,0.0005522074643522501,0.0006428321939893067,1.1641135542116605,high final p-ratio,high_p,56,16
high_p CV2 sim-56,other_trajectories,17,100,100,0.4280082735125928,0.17814169879037617,7.107116107363254e-05,0.0004525828699115664,0.0006720725214108825,1.4849711866960493,high final p-ratio,high_p,56,17
high_p CV2 sim-56,other_trajectories,18,100,100,0.41894170253317,0.16336690789799047,6.1024366004858166e-05,0.0004056734615005553,0.0005625573685392737,1.3867245997764233,high final p-ratio,high_p,56,18
high_p CV2 sim-56,other_trajectories,19,100,100,0.3866796951732405,0.040181781111504576,0.00010083831148222089,0.0004266326723154634,0.0005871767061762512,1.3763050611887437,high final p-ratio,high_p,56,19
high_p CV2 sim-56,other_trajectories,20,100,100,0.3825549838864703,-0.15244785215150708,0.00021018982806708664,0.0004925160319544375,0.0006885395268909633,1.3980042926900293,high final p-ratio,high_p,56,20
high_p CV2 sim-56,other_trajectories,21,100,100,0.3975777591824381,-0.21644295302013422,0.00031765727908350527,0.00048590541700832546,0.0008375457255169749,1.7236805686869396,high final p-ratio,high_p,56,21
high_p CV2 sim-56,other_trajectories,22,100,100,0.4087434403537044,-0.4281988789990987,0.0004268109623808414,0.0006240864167921245,0.0004863247158937156,0.7792586135642564,high final p-ratio,high_p,56,22
high_p CV2 sim-56,other_trajectories,23,100,100,0.40978876465829006,0.3479035934455906,3.473228571237996e-05,0.0004432816058397293,0.0006475207628682256,1.4607435867806795,high final p-ratio,high_p,56,23
high_p CV2 sim-56,other_trajectories,24,100,100,0.4193149685580094,-0.4371280371280371,0.0004385742940939963,0.0005649353261105716,0.0004322824825067073,0.7651893279233508,high final p-ratio,high_p,56,24
high_p CV2 sim-56,other_trajectories,25,100,100,0.41290387671198325,0.15728043847057288,5.910683830734342e-05,0.0004490292340051383,0.0005958274123258889,1.3269234321591425,high final p-ratio,high_p,56,25
high_p CV2 sim-56,other_trajectories,26,100,100,0.42727090784996946,0.035893008457639854,0.00010968568676616997,0.0004547043063212186,0.0006207271362654865,1.3651226250471964,high final p-ratio,high_p,56,26
high_p CV2 sim-56,other_trajectories,27,100,100,0.3664497424394223,-0.349707375849901,0.0003872759116347879,0.0005136284744367003,0.0007996246567927301,1.5568152791172327,high final p-ratio,high_p,56,27
high_p CV2 sim-56,other_trajectories,28,100,100,0.39910032765279785,-0.4385987417753048,0.0004013578000012785,0.0005437283543869853,0.0007538623176515102,1.3864686503271213,high final p-ratio,high_p,56,28
high_p CV2 sim-56,other_trajectories,29,100,100,0.4096039176463515,-0.4600556285250715,0.0004541161470115185,0.0005104602314531803,0.0005140272551216185,1.0069878581104812,high final p-ratio,high_p,56,29
high_p CV2 sim-56,other_trajectories,30,100,100,0.3917178622569172,0.04919855713162106,0.00013614282943308353,0.0004125522100366652,0.0007289347122423351,1.7668908189282313,high final p-ratio,high_p,56,30
high_p CV2 sim-56,other_trajectories,31,100,100,0.40786154921445283,0.13609564797469764,6.881140870973468e-05,0.00044052297016605735,0.0005833072355017066,1.3241244498143332,high final p-ratio,high_p,56,31
high_p CV2 sim-56,other_trajectories,32,100,100,0.38950677895690927,0.21364027538726335,6.603325891774148e-05,0.0004455522575881332,0.000704899022821337,1.582079342695067,high final p-ratio,high_p,56,32
high_p CV2 sim-56,other_trajectories,33,100,100,0.3841232846242372,-0.40805549580554956,0.0004056287289131433,0.0005383362295106053,0.0006779770483262837,1.2593933143653067,high final p-ratio,high_p,56,33
high_p CV2 sim-56,other_trajectories,34,100,100,0.4015979399942578,-0.4269141901892096,0.0004446881648618728,0.0005927652237005532,0.0007854040013626218,1.3249832648066815,high final p-ratio,high_p,56,34
high_p CV2 sim-56,other_trajectories,35,100,100,0.40881363741073484,-0.1383757696788151,0.00025189219741150737,0.000455266737844795,0.0007586975116282701,1.6664901003308477,high final p-ratio,high_p,56,35
high_p CV2 sim-56,other_trajectories,36,100,100,0.3746914984122171,-0.41663090128755365,0.0004464433004613966,0.0005058642127551138,0.000883947592228651,1.747400922896606,high final p-ratio,high_p,56,36
