repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
2,1,1,val,stiffness_mean,final_p_ratio,-0.9272522807395049,0.8597967921366136,25
2,1,1,val,stiffness_std,final_p_ratio,-0.9541761518964464,0.9104521288479105,25
2,1,1,val,horizontal_stiffness,final_p_ratio,-0.9485656223001646,0.8997767398096985,25
2,1,1,val,vertical_stiffness,final_p_ratio,-0.8703866087647137,0.7575728487169389,25
2,1,1,val,diagonal_stiffness,final_p_ratio,0.3029482769758718,0.09177765852264953,25
2,1,2,val,stiffness_mean,final_p_ratio,-0.8234143653893017,0.6780112171294664,25
2,1,2,val,stiffness_std,final_p_ratio,-0.9082741530357863,0.8249619370728749,25
2,1,2,val,horizontal_stiffness,final_p_ratio,-0.8868874809205595,0.7865694038136157,25
2,1,2,val,vertical_stiffness,final_p_ratio,-0.7897933571435501,0.6237735469880793,25
2,1,2,val,diagonal_stiffness,final_p_ratio,0.36598380944348585,0.13394414877476576,25
2,1,4,val,stiffness_mean,final_p_ratio,-0.8936134299021388,0.7985449621014646,25
2,1,4,val,stiffness_std,final_p_ratio,-0.9374928647275962,0.8788928714151549,25
2,1,4,val,horizontal_stiffness,final_p_ratio,-0.901209839500053,0.8121791748117112,25
2,1,4,val,vertical_stiffness,final_p_ratio,-0.8678986056837152,0.753247989747737,25
2,1,4,val,diagonal_stiffness,final_p_ratio,0.2544883398273859,0.06476431510809905,25
2,2,1,val,stiffness_mean,final_p_ratio,-0.9013640451760389,0.8124571419361122,25
2,2,1,val,stiffness_std,final_p_ratio,-0.9578863983918408,0.9175463522240923,25
2,2,1,val,horizontal_stiffness,final_p_ratio,-0.9606964628511573,0.922937693734725,25
2,2,1,val,vertical_stiffness,final_p_ratio,-0.8528268382294839,0.7273136160044983,25
2,2,1,val,diagonal_stiffness,final_p_ratio,0.7218182910837898,0.5210216453431227,25
2,2,2,val,stiffness_mean,final_p_ratio,-0.8660015435012396,0.7499586733465293,25
2,2,2,val,stiffness_std,final_p_ratio,-0.924557313648604,0.8548062262211232,25
2,2,2,val,horizontal_stiffness,final_p_ratio,-0.9200608800072294,0.8465120229196774,25
2,2,2,val,vertical_stiffness,final_p_ratio,-0.8301701383267744,0.6891824585694958,25
2,2,2,val,diagonal_stiffness,final_p_ratio,0.6816366185557174,0.46462847975607263,25
2,2,4,val,stiffness_mean,final_p_ratio,-0.9098996667245994,0.8279174035055371,25
2,2,4,val,stiffness_std,final_p_ratio,-0.9558560236864705,0.9136607380177104,25
2,2,4,val,horizontal_stiffness,final_p_ratio,-0.9385829244436493,0.8809379060571931,25
2,2,4,val,vertical_stiffness,final_p_ratio,-0.8544690267559342,0.7301173176852334,25
2,2,4,val,diagonal_stiffness,final_p_ratio,0.49346544341420084,0.24350814384397385,25
2,4,1,val,stiffness_mean,final_p_ratio,-0.8472245061259878,0.7177893637804239,25
2,4,1,val,stiffness_std,final_p_ratio,-0.9366118283237247,0.8772417169559104,25
2,4,1,val,horizontal_stiffness,final_p_ratio,-0.9140996179516742,0.8355781115393967,25
2,4,1,val,vertical_stiffness,final_p_ratio,-0.7952309525409104,0.6323922678791236,25
2,4,1,val,diagonal_stiffness,final_p_ratio,-0.03801154548622981,0.0014448775902517175,25
2,4,2,val,stiffness_mean,final_p_ratio,-0.9440749527558325,0.8912775164209275,25
2,4,2,val,stiffness_std,final_p_ratio,-0.9612249655575207,0.9239534344110568,25
2,4,2,val,horizontal_stiffness,final_p_ratio,-0.9651119274781539,0.9314410325605974,25
2,4,2,val,vertical_stiffness,final_p_ratio,-0.8818389169844094,0.7776398755082361,25
2,4,2,val,diagonal_stiffness,final_p_ratio,0.6345689464899981,0.402677747849426,25
2,4,4,val,stiffness_mean,final_p_ratio,-0.8491326531425765,0.7210262626329511,25
2,4,4,val,stiffness_std,final_p_ratio,-0.9124609500118859,0.8325849852965933,25
2,4,4,val,horizontal_stiffness,final_p_ratio,-0.8788455687827352,0.7723695337690494,25
2,4,4,val,vertical_stiffness,final_p_ratio,-0.8341171955243516,0.6957514958694094,25
2,4,4,val,diagonal_stiffness,final_p_ratio,0.4119223729896055,0.16968004136938766,25
3,1,1,val,stiffness_mean,final_p_ratio,-0.9247241480319753,0.8551147499534626,25
3,1,1,val,stiffness_std,final_p_ratio,-0.9664077410578163,0.9339439219764715,25
3,1,1,val,horizontal_stiffness,final_p_ratio,-0.9381851867207996,0.8801914445823417,25
3,1,1,val,vertical_stiffness,final_p_ratio,-0.8779921592399573,0.7708702316868425,25
3,1,1,val,diagonal_stiffness,final_p_ratio,0.5613191718251843,0.3150792126585108,25
3,1,2,val,stiffness_mean,final_p_ratio,-0.9084471683135447,0.8252762576168977,25
3,1,2,val,stiffness_std,final_p_ratio,-0.9591264024949469,0.9199234559628988,25
3,1,2,val,horizontal_stiffness,final_p_ratio,-0.9351281587742011,0.8744646733324274,25
3,1,2,val,vertical_stiffness,final_p_ratio,-0.8823757098729547,0.7785868933738006,25
3,1,2,val,diagonal_stiffness,final_p_ratio,0.6237975643904301,0.3891234013394328,25
3,1,4,val,stiffness_mean,final_p_ratio,-0.9151421886683022,0.8374852254806104,25
